message,label
"The meeting went well, will update you soon Take care",ham
CONGRATULATIONS! You are our lucky winner. Call 7996,spam
Happy birthday! Hope you have a great day!,ham
CONGRATULATIONS! You are our lucky winner. Call 3403,spam
CONGRATULATIONS! You are our lucky winner. Call 9554,spam
Happy birthday! Hope you have a great day!,ham
"Thanks for the update, I'll review it tonight Thanks!",ham
You have been chosen! Claim $100 reward at http://bit.ly/frujdi,spam
Limited offer! Get laptop for only $1000! Call now,spam
"Thanks for your help yesterday, really appreciate it!",ham
CONGRATULATIONS! You are our lucky winner. Call 3027,spam
PRIZE ALERT! You won $5000! Text WIN to 9125,spam
"The project deadline is Friday, let's meet tomorrow Take care",ham
URGENT: Your bank account needs verification. Click http://bit.ly/yqgvzl,spam
Let's grab coffee this weekend Cheers,ham
"The meeting went well, will update you soon",ham
I'll be there in 15 minutes,ham
URGENT! Your account will be closed. Click http://bit.ly/lnufci immediately,spam
Let's grab coffee this weekend,ham
Good morning! Have a productive day Cheers,ham
"The project deadline is Friday, let's meet tomorrow",ham
Can you send me that document we discussed?,ham
Meeting is rescheduled to 3pm tomorrow,ham
"Hey, are you free for dinner tonight? Take care",ham
FREE entry to win $100! Text 4579 to enter now,spam
Good morning! Have a productive day Take care,ham
Great job on the presentation today!,ham
"Thanks for your help yesterday, really appreciate it!",ham
You have been chosen! Claim $100 reward at http://bit.ly/odmxtx,spam
Let's grab coffee this weekend,ham
Meeting is rescheduled to 3pm tomorrow,ham
Good morning! Have a productive day See you,ham
Meeting is rescheduled to 3pm tomorrow,ham
URGENT: Your bank account needs verification. Click http://bit.ly/rtogkt,spam
PRIZE ALERT! You won $100! Text WIN to 4385,spam
Good morning! Have a productive day,ham
"The meeting went well, will update you soon",ham
You have been chosen! Claim $500 reward at http://bit.ly/nasmmd,spam
Let's grab coffee this weekend,ham
Limited offer! Get iPhone for only $1000! Call now,spam
Happy birthday! Hope you have a great day!,ham
PRIZE ALERT! You won $1000! Text WIN to 3219,spam
"Thanks for your help yesterday, really appreciate it! Thanks!",ham
You have been chosen! Claim $100 reward at http://bit.ly/thklay,spam
Congratulations! Claim your FREE iPad by texting 1154,spam
Congratulations! Claim your FREE laptop by texting 7254,spam
CONGRATULATIONS! You are our lucky winner. Call 6390,spam
Congratulations! Claim your FREE gift card by texting 9154,spam
"Hey, are you free for dinner tonight?",ham
URGENT! Your account will be closed. Click http://bit.ly/gtiahg immediately,spam
URGENT! Your account will be closed. Click http://bit.ly/leyqpo immediately,spam
CONGRATULATIONS! You are our lucky winner. Call 5648,spam
URGENT: Your bank account needs verification. Click http://bit.ly/ihqayk,spam
"The project deadline is Friday, let's meet tomorrow",ham
You have been chosen! Claim $5000 reward at http://bit.ly/ndaasp,spam
CONGRATULATIONS! You are our lucky winner. Call 9010,spam
WINNER!! You have won a $100 prize! Call 8657 now!,spam
CONGRATULATIONS! You are our lucky winner. Call 8280,spam
"The project deadline is Friday, let's meet tomorrow See you",ham
FREE entry to win $5000! Text 2887 to enter now,spam
Can you pick up some milk on your way home? Take care,ham
I'll be there in 15 minutes,ham
Can you pick up some milk on your way home?,ham
Great job on the presentation today!,ham
PRIZE ALERT! You won $500! Text WIN to 5777,spam
Congratulations! Claim your FREE iPad by texting 5752,spam
"Hey, are you free for dinner tonight?",ham
URGENT! Your account will be closed. Click http://bit.ly/aahjkl immediately,spam
"The meeting went well, will update you soon",ham
I'll call you after work today,ham
Meeting is rescheduled to 3pm tomorrow See you,ham
"Hey, are you free for dinner tonight?",ham
I'll be there in 15 minutes,ham
Can you send me that document we discussed?,ham
"Thanks for the update, I'll review it tonight",ham
Good morning! Have a productive day Best,ham
I'll be there in 15 minutes,ham
CONGRATULATIONS! You are our lucky winner. Call 3000,spam
Meeting is rescheduled to 3pm tomorrow,ham
Can you pick up some milk on your way home?,ham
Limited offer! Get gift card for only $5000! Call now,spam
CONGRATULATIONS! You are our lucky winner. Call 1364,spam
I'll be there in 15 minutes,ham
CONGRATULATIONS! You are our lucky winner. Call 2895,spam
Let's grab coffee this weekend Thanks!,ham
Limited offer! Get laptop for only $100! Call now,spam
Congratulations! Claim your FREE iPad by texting 5732,spam
"Hey, are you free for dinner tonight? Cheers",ham
Good morning! Have a productive day,ham
Meeting is rescheduled to 3pm tomorrow Best,ham
I'll call you after work today,ham
Don't forget about mom's birthday next week,ham
Can you pick up some milk on your way home?,ham
"Thanks for the update, I'll review it tonight",ham
Can you send me that document we discussed?,ham
Happy birthday! Hope you have a great day! Take care,ham
Limited offer! Get iPhone for only $500! Call now,spam
FREE entry to win $1000! Text 5854 to enter now,spam
Can you pick up some milk on your way home?,ham
URGENT: Your bank account needs verification. Click http://bit.ly/zwygaa,spam
Good morning! Have a productive day Thanks!,ham
"The project deadline is Friday, let's meet tomorrow",ham
Limited offer! Get gift card for only $1000! Call now,spam
"The project deadline is Friday, let's meet tomorrow",ham
Meeting is rescheduled to 3pm tomorrow,ham
WINNER!! You have won a $100 prize! Call 2191 now!,spam
"Thanks for your help yesterday, really appreciate it!",ham
Great job on the presentation today!,ham
"The project deadline is Friday, let's meet tomorrow Take care",ham
FREE entry to win $500! Text 2252 to enter now,spam
URGENT: Your bank account needs verification. Click http://bit.ly/tgcrjg,spam
Can you send me that document we discussed? Best,ham
I'll call you after work today,ham
URGENT: Your bank account needs verification. Click http://bit.ly/txvxax,spam
Can you send me that document we discussed? See you,ham
"Thanks for your help yesterday, really appreciate it! Thanks!",ham
"The project deadline is Friday, let's meet tomorrow",ham
"The project deadline is Friday, let's meet tomorrow",ham
PRIZE ALERT! You won $1000! Text WIN to 8776,spam
URGENT! Your account will be closed. Click http://bit.ly/ntelpz immediately,spam
Can you send me that document we discussed? Thanks!,ham
FREE entry to win $100! Text 1306 to enter now,spam
Great job on the presentation today!,ham
FREE entry to win $5000! Text 7924 to enter now,spam
Good morning! Have a productive day Thanks!,ham
Don't forget about mom's birthday next week,ham
Can you send me that document we discussed?,ham
Meeting is rescheduled to 3pm tomorrow,ham
PRIZE ALERT! You won $1000! Text WIN to 1645,spam
Meeting is rescheduled to 3pm tomorrow,ham
PRIZE ALERT! You won $5000! Text WIN to 1301,spam
WINNER!! You have won a $5000 prize! Call 3482 now!,spam
"The project deadline is Friday, let's meet tomorrow",ham
Great job on the presentation today!,ham
Congratulations! Claim your FREE gift card by texting 9930,spam
Limited offer! Get gift card for only $1000! Call now,spam
FREE entry to win $100! Text 6238 to enter now,spam
CONGRATULATIONS! You are our lucky winner. Call 9815,spam
You have been chosen! Claim $5000 reward at http://bit.ly/tqqztl,spam
Don't forget about mom's birthday next week,ham
Congratulations! Claim your FREE gift card by texting 1009,spam
"Thanks for the update, I'll review it tonight Best",ham
"The project deadline is Friday, let's meet tomorrow",ham
URGENT: Your bank account needs verification. Click http://bit.ly/qelrnu,spam
"The project deadline is Friday, let's meet tomorrow Best",ham
"Thanks for the update, I'll review it tonight",ham
Congratulations! Claim your FREE iPhone by texting 9155,spam
I'll be there in 15 minutes Best,ham
Happy birthday! Hope you have a great day!,ham
Meeting is rescheduled to 3pm tomorrow,ham
FREE entry to win $1000! Text 2585 to enter now,spam
Congratulations! Claim your FREE gift card by texting 6954,spam
FREE entry to win $5000! Text 1851 to enter now,spam
URGENT: Your bank account needs verification. Click http://bit.ly/fhieas,spam
Don't forget about mom's birthday next week,ham
"Hey, are you free for dinner tonight? See you",ham
URGENT! Your account will be closed. Click http://bit.ly/sguigr immediately,spam
Great job on the presentation today!,ham
Meeting is rescheduled to 3pm tomorrow Cheers,ham
URGENT! Your account will be closed. Click http://bit.ly/qyxafu immediately,spam
CONGRATULATIONS! You are our lucky winner. Call 9609,spam
"The meeting went well, will update you soon",ham
Happy birthday! Hope you have a great day!,ham
CONGRATULATIONS! You are our lucky winner. Call 9754,spam
Meeting is rescheduled to 3pm tomorrow,ham
"Hey, are you free for dinner tonight? Best",ham
You've been selected for a FREE iPhone. Reply YES now!,spam
FREE entry to win $500! Text 8869 to enter now,spam
"Thanks for the update, I'll review it tonight",ham
Limited offer! Get laptop for only $1000! Call now,spam
Limited offer! Get vacation for only $100! Call now,spam
PRIZE ALERT! You won $100! Text WIN to 8059,spam
I'll be there in 15 minutes,ham
FREE entry to win $500! Text 6619 to enter now,spam
URGENT! Your account will be closed. Click http://bit.ly/qrfsda immediately,spam
Limited offer! Get vacation for only $5000! Call now,spam
Let's grab coffee this weekend,ham
WINNER!! You have won a $1000 prize! Call 4591 now!,spam
URGENT: Your bank account needs verification. Click http://bit.ly/dlzeek,spam
Meeting is rescheduled to 3pm tomorrow See you,ham
Great job on the presentation today!,ham
URGENT: Your bank account needs verification. Click http://bit.ly/ikdbfn,spam
Good morning! Have a productive day,ham
I'll be there in 15 minutes Take care,ham
"Hey, are you free for dinner tonight?",ham
URGENT! Your account will be closed. Click http://bit.ly/lypxlo immediately,spam
I'll be there in 15 minutes,ham
WINNER!! You have won a $500 prize! Call 3193 now!,spam
Meeting is rescheduled to 3pm tomorrow Cheers,ham
Congratulations! Claim your FREE laptop by texting 9920,spam
Happy birthday! Hope you have a great day!,ham
I'll be there in 15 minutes,ham
I'll call you after work today Best,ham
Can you send me that document we discussed?,ham
URGENT: Your bank account needs verification. Click http://bit.ly/tyzkfb,spam
Can you pick up some milk on your way home?,ham
Limited offer! Get laptop for only $1000! Call now,spam
Limited offer! Get laptop for only $100! Call now,spam
URGENT! Your account will be closed. Click http://bit.ly/mmafxs immediately,spam
Can you pick up some milk on your way home?,ham
Happy birthday! Hope you have a great day!,ham
CONGRATULATIONS! You are our lucky winner. Call 6870,spam
Great job on the presentation today!,ham
FREE entry to win $1000! Text 7342 to enter now,spam
URGENT: Your bank account needs verification. Click http://bit.ly/zfobcq,spam
URGENT! Your account will be closed. Click http://bit.ly/zhpbfu immediately,spam
"Thanks for the update, I'll review it tonight",ham
Congratulations! Claim your FREE iPad by texting 8002,spam
I'll call you after work today,ham
"Thanks for the update, I'll review it tonight Best",ham
Let's grab coffee this weekend Best,ham
Congratulations! Claim your FREE iPad by texting 3198,spam
Happy birthday! Hope you have a great day!,ham
Great job on the presentation today!,ham
Meeting is rescheduled to 3pm tomorrow,ham
Great job on the presentation today!,ham
Happy birthday! Hope you have a great day! Take care,ham
Can you send me that document we discussed?,ham
Happy birthday! Hope you have a great day! Thanks!,ham
Can you pick up some milk on your way home? See you,ham
Great job on the presentation today!,ham
"Hey, are you free for dinner tonight?",ham
CONGRATULATIONS! You are our lucky winner. Call 6919,spam
You've been selected for a FREE laptop. Reply YES now!,spam
CONGRATULATIONS! You are our lucky winner. Call 9230,spam
Happy birthday! Hope you have a great day!,ham
I'll call you after work today,ham
Can you send me that document we discussed?,ham
Great job on the presentation today!,ham
URGENT! Your account will be closed. Click http://bit.ly/zthiga immediately,spam
URGENT: Your bank account needs verification. Click http://bit.ly/aqkvzr,spam
